BOROUGH,RESIDENTIAL UNITS,COMMERCIAL UNITS,GROSS SQUARE FEET,LAND SQUARE FEET,YEAR BUILT,LOT,SALE PRICE
Manhattan,1,0,,,2013,1102,2760000.0
Manhattan,1,0,,,2013,1105,2853850.0
Manhattan,1,0,,,2013,1107,2599287.0
Manhattan,1,0,,,2013,1109,2760000.0
Manhattan,1,0,,,2013,1114,6315900.0
Manhattan,1,0,,,2013,1115,6875937.0
Manhattan,1,0,,,2013,1116,7950000.0
Manhattan,1,0,,,2013,1123,5959512.0
Manhattan,1,0,,,2013,1127,10490725.0
Manhattan,1,0,,,2013,1128,13435504.0
Manhattan,1,0,,,2013,1129,10126700.0
Manhattan,1,0,,,2013,1130,14563725.0
Manhattan,1,0,,,2013,1131,10948937.0
Manhattan,1,0,,,2013,1132,15139625.0
Manhattan,1,0,,,2013,1133,12018100.0
Manhattan,1,0,,,2013,1134,15887450.0
Manhattan,1,0,,,2013,1135,11560349.0
Manhattan,1,0,,,2013,1136,16466145.0
Manhattan,1,0,,,2013,1137,12829362.0
Manhattan,1,0,,,2013,1138,16905700.0
Manhattan,1,0,,,2013,1139,13443650.0
Manhattan,1,0,,,2013,1140,17809925.0
Manhattan,1,0,,,2013,1141,13478450.0
Manhattan,1,0,,,2013,1142,34623250.0
Manhattan,1,0,,,2013,1143,33605000.0
Manhattan,1,0,,,0,1031,6300000.0
Manhattan,1,0,,,2005,1104,2800000.0
Manhattan,1,0,,,2005,1310,799000.0
Manhattan,1,0,,,2005,1317,1340000.0
Manhattan,1,0,,,2005,1419,1060000.0
Manhattan,1,0,,,2005,1420,1035000.0
Manhattan,1,0,,,2005,1441,1040000.0
Manhattan,1,0,,,2005,1450,1045000.0
Manhattan,1,0,,,2005,1454,1025000.0
Manhattan,1,0,,,2005,1464,740000.0
Manhattan,1,0,,,2005,1494,1210000.0
Manhattan,1,0,,,2005,1514,995000.0
Manhattan,1,0,,,2005,1527,995000.0
Manhattan,1,0,,,2005,1540,785000.0
Manhattan,1,0,,,2005,1569,1020000.0
Manhattan,1,0,,,2005,1575,975000.0
Manhattan,1,0,,,2005,1585,1650000.0
Manhattan,1,0,,,2005,1590,1700000.0
Manhattan,1,0,,,2005,1593,257068.0
Manhattan,1,0,,,2005,1596,1075000.0
Manhattan,1,0,,,2005,1633,2900000.0
Manhattan,1,0,,,2005,1634,2875000.0
Manhattan,1,0,,,2005,1723,6000000.0
Manhattan,1,0,,,2007,1809,6500000.0
Manhattan,1,0,,,2007,1811,4225000.0
Manhattan,1,0,,,2007,1105,3750000.0
Manhattan,1,0,,,2009,1213,1199000.0
Manhattan,1,0,,,2009,1219,1255000.0
Manhattan,1,0,,,2009,1231,1280000.0
Manhattan,1,0,,,2009,1249,1300000.0
Manhattan,1,0,,,2009,1255,1300000.0
Manhattan,1,0,,,2009,1261,1275000.0
Manhattan,1,0,,,2009,1276,2900000.0
Manhattan,1,0,,,2009,1290,2750000.0
Manhattan,0,0,,,0,1306,7165843.0
Manhattan,0,0,,,0,1309,4937073.0
Manhattan,0,0,,,0,1311,6033271.0
Manhattan,0,0,,,0,1316,6198750.0
Manhattan,0,0,,,0,1317,14504000.0
Manhattan,0,0,,,0,1319,4987833.0
Manhattan,0,0,,,0,1320,5191483.0
Manhattan,0,0,,,0,1321,6398500.0
Manhattan,0,0,,,0,1323,9366308.0
Manhattan,0,0,,,0,1324,5070293.0
Manhattan,0,0,,,0,1333,7250000.0
Manhattan,0,0,,,0,1337,10124043.0
Manhattan,1,0,,,2006,1015,1195000.0
Manhattan,1,0,,,2006,1040,1500000.0
Manhattan,1,0,,,2006,1070,2075000.0
Manhattan,1,0,,,2006,1077,2450000.0
Manhattan,1,0,,,2006,1082,4700000.0
Manhattan,1,0,,,2006,1122,4000000.0
Manhattan,1,0,,,2006,1129,2175000.0
Manhattan,1,0,,,2006,1141,4500000.0
Manhattan,1,0,,,1920,1010,1180000.0
Manhattan,1,0,,,0,1106,1050000.0
Manhattan,1,0,,,0,1127,2735000.0
Manhattan,1,0,,,0,1141,3815000.0
Manhattan,1,0,,,2007,1201,3000000.0
Manhattan,1,0,,,2007,1226,1575000.0
Manhattan,1,0,,,2007,1228,2200000.0
Manhattan,1,0,,,2008,1405,2150000.0
Manhattan,1,0,,,2008,1406,2657500.0
Manhattan,1,0,,,1920,1002,2965000.0
Manhattan,1,0,,,1920,1003,2395000.0
Manhattan,1,0,,,1920,1027,1440000.0
Manhattan,1,0,,,1920,1028,1222000.0
Manhattan,1,0,,,1920,1034,1180000.0
Manhattan,1,0,,,1987,1134,775595.0
Manhattan,1,0,,,1987,1136,730000.0
Manhattan,1,0,,,1987,1143,805000.0
Manhattan,1,0,,,1931,1211,3375000.0
Manhattan,1,0,,,1931,1219,4250000.0
Manhattan,1,0,,,1984,1017,999000.0
Manhattan,1,0,,,1900,1106,10.0
Manhattan,1,0,,,1900,1109,925000.0
Manhattan,1,0,,,0,1017,975000.0
Manhattan,1,0,,,0,1025,1995000.0
Manhattan,1,0,,,0,1068,1495000.0
Manhattan,1,0,,,0,1068,1425000.0
Manhattan,1,0,,,0,1001,1750000.0
Manhattan,1,0,,,0,1012,2350000.0
Manhattan,1,0,,,0,1026,1950000.0
Manhattan,1,0,,,0,1042,2575000.0
Manhattan,1,0,,,1920,1102,2250000.0
Manhattan,1,0,,,1920,1120,3175000.0
Manhattan,1,0,,,1960,1307,2125000.0
Manhattan,1,0,,,1960,1311,2000000.0
Manhattan,1,0,,,1960,1314,2600000.0
Manhattan,1,0,,,1960,1315,2955000.0
Manhattan,1,0,,,1950,1014,882000.0
Manhattan,1,0,,,1950,1016,968000.0
Manhattan,1,0,,,1950,1020,1025000.0
Manhattan,1,0,,,1950,1022,1145000.0
Manhattan,1,0,,,1950,1043,675000.0
Manhattan,1,0,,,1983,1115,1410000.0
Manhattan,1,0,,,1983,1125,1440000.0
Manhattan,1,0,,,0,1410,1820000.0
Manhattan,1,0,,,1948,1515,388037.0
Manhattan,1,0,,,1948,1580,525000.0
Manhattan,1,0,,,1925,1122,820000.0
Manhattan,1,0,,,2009,1206,1751390.0
Manhattan,1,0,,,1989,1131,1750000.0
Manhattan,1,0,,,1989,1182,977500.0
Manhattan,1,0,,,1989,1222,1300000.0
Manhattan,1,0,,,1989,1233,1325000.0
Manhattan,1,0,,,0,1107,1900000.0
Manhattan,1,0,,,0,1110,1.0
Manhattan,1,0,,,0,1235,5250000.0
Manhattan,1,0,,,1929,1523,16900000.0
Manhattan,1,0,,,1929,1532,14750000.0
Manhattan,1,0,,,1929,1547,10000000.0
Manhattan,1,0,,,1929,1550,17500000.0
Manhattan,1,0,,,1939,1029,900000.0
Manhattan,1,0,,,1939,1043,935000.0
Manhattan,1,0,,,1939,1063,975000.0
Manhattan,1,0,,,0,1147,250000.0
Manhattan,1,0,,,0,1315,3025000.0
Manhattan,1,0,,,0,1336,3200000.0
Manhattan,1,0,,,0,1338,3500000.0
Manhattan,1,0,,,0,1341,2700000.0
Manhattan,1,0,,,0,1407,3350000.0
Manhattan,1,0,,,0,1413,4450000.0
Manhattan,1,0,,,2004,1004,2050000.0
Manhattan,1,0,,,0,1034,1750000.0
Manhattan,1,0,,,0,1035,3060000.0
Manhattan,1,0,,,0,1039,2788000.0
Manhattan,1,0,,,0,1042,1500000.0
Manhattan,1,0,,,0,1042,1500000.0
Manhattan,1,0,,,0,1114,2600000.0
Manhattan,1,0,,,0,1171,2275000.0
Manhattan,1,0,,,0,1176,2600000.0
Manhattan,1,0,,,0,1210,1750000.0
Manhattan,1,0,,,0,1264,3100000.0
Manhattan,1,0,,,0,1285,5500000.0
Manhattan,1,0,,,0,1333,5300000.0
Manhattan,1,0,,,0,1350,4550000.0
Manhattan,1,0,,,2014,1204,3050000.0
Manhattan,1,0,,,2014,1227,2562500.0
Manhattan,1,0,,,2014,1243,1600000.0
Manhattan,1,0,,,1899,1025,2700000.0
Manhattan,1,0,,,1899,1035,2945000.0
Manhattan,1,0,,,1907,1060,1700000.0
Manhattan,1,0,,,0,1213,2550000.0
Manhattan,1,0,,,0,1237,3050000.0
Manhattan,1,0,,,0,1252,3828219.0
